title,tom,aud,tom_ave_rating,tom_num_reviews,tom_fresh,tom_rotten,aud_ave_rating,aud_num_ratings,age_rating,genre,director,writers,rel_date,box,runtime,studio,link
Cars 3,68,70,6.1,200,136,64,3.7,26723,G,"['Animation', 'Comedy', 'Kids & Family']",Brian Fee,"['Kiel Murray, Bob Peterson, Mike Rich']","Jun 16, 2017",152603003.0,109.0,Walt Disney Pictures,https://www.rottentomatoes.com/m/cars_3_2017
Girls Trip,90,78,6.9,140,126,14,4.0,22839,R,"['Comedy', 'Drama']",Malcolm D. Lee,"['Kenya Barris, Tracy Oliver']","Jul 21, 2017",115088305.0,122.0,Universal Pictures,https://www.rottentomatoes.com/m/girls_trip
The Florida Project,96,79,8.8,264,253,11,3.9,12455,R,['Drama'],Sean Baker (II),"['Chris Bergoch, Sean Baker (II)']","Oct 6, 2017",5412775.0,115.0,A24 Films,https://www.rottentomatoes.com/m/the_florida_project_2017
Flower,47,45,5.3,59,28,31,3.1,327,R,['Comedy'],Max Winkler,"['Alex McAulay, Max Winkler, Matt Spicer']","Mar 16, 2018",,93.0,The Orchard,https://www.rottentomatoes.com/m/flower_2017
Marrowbone,45,58,5.1,58,26,32,3.6,370,R,"['Horror', 'Mystery & Suspense']",Sergio G. Sánchez,['Sergio G. Sánchez'],"Apr 13, 2018",,110.0,Magnolia Pictures,https://www.rottentomatoes.com/m/marrowbone
Same Kind of Different As Me,33,87,5.3,9,3,6,4.4,3091,PG-13,['Drama'],Michael Carney (XII),"['Michael Carney (XII) , Alexander Foard, Ron Hall']","Oct 20, 2017",6410279.0,119.0,Paramount Pictures / Pure Flix,https://www.rottentomatoes.com/m/same_kind_of_different_as_me
Good Time,91,80,7.6,214,195,19,3.8,8233,R,['Drama'],"Benny Safdie, Joshua Safdie","['Joshua Safdie, Ronald Bronstein']","Aug 25, 2017",1999047.0,100.0,A24,https://www.rottentomatoes.com/m/good_time_2017
The Foreigner,63,72,6.0,101,64,37,3.8,15884,R,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",Martin Campbell,['David Marconi'],"Oct 13, 2017",33964179.0,,STX Films,https://www.rottentomatoes.com/m/the_foreigner_2017
The Big Sick,98,88,8.3,258,254,4,4.2,31714,R,"['Comedy', 'Romance']",Michael Showalter,"['Kumail Nanjiani, Emily V. Gordon']","Jul 14, 2017",42824653.0,119.0,Amazon Studios,https://www.rottentomatoes.com/m/the_big_sick
The Ballad of Lefty Brown,78,55,6.2,23,18,5,3.4,505,R,['Western'],Jared Moshe,['Jared Moshe'],"Dec 15, 2017",,111.0,A24 and DIRECTV,https://www.rottentomatoes.com/m/the_ballad_of_lefty_brown_2017
Lucky,98,81,7.8,126,123,3,4.1,4058,NR,"['Comedy', 'Drama']",John Carroll Lynch,"['Logan Sparks, Drago Sumonja']","Sep 29, 2017",925118.0,86.0,Magnolia Pictures,https://www.rottentomatoes.com/m/lucky_2017
Brawl in Cell Block 99,92,73,7.6,79,73,6,3.6,5680,NR,"['Action & Adventure', 'Mystery & Suspense']",S. Craig Zahler,['S. Craig Zahler'],"Oct 6, 2017",,132.0,RLJE Films,https://www.rottentomatoes.com/m/brawl_in_cell_block_99
It Comes At Night,88,44,7.4,217,191,26,2.8,19329,R,"['Drama', 'Horror']",Trey Edward Shults,['Trey Edward Shults'],"Jun 9, 2017",13985117.0,91.0,A24,https://www.rottentomatoes.com/m/it_comes_at_night_2017
Fist Fight,26,41,3.9,124,32,92,3.0,13492,R,['Comedy'],Richie Keen,"['Van Robichaux, Evan Susser, Max Greenfield']","Feb 17, 2017",32153522.0,,Warner Bros. Pictures,https://www.rottentomatoes.com/m/fist_fight_2017
Despicable Me 3,60,54,5.7,178,106,72,3.4,78084,PG,"['Animation', 'Comedy', 'Kids & Family']","Kyle Balda, Pierre Coffin, Eric Guillon","['Ken Daurio, Cinco Paul']","Jun 30, 2017",264194540.0,90.0,Universal Pictures,https://www.rottentomatoes.com/m/despicable_me_3_2017
The Boss Baby,52,51,5.5,168,88,80,3.3,29337,PG,"['Animation', 'Comedy', 'Kids & Family']",Tom McGrath,['Michael McCullers'],"Mar 31, 2017",174996080.0,97.0,DreamWorks Animation,https://www.rottentomatoes.com/m/the_boss_baby
Mom and Dad,74,38,6.0,116,86,30,2.9,1180,R,"['Comedy', 'Horror']",Brian Taylor,['Brian Taylor'],"Jan 19, 2018",,83.0,Momentum Pictures,https://www.rottentomatoes.com/m/mom_and_dad_2017
Okja,86,81,7.5,197,169,28,3.9,9820,NR,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Bong Joon Ho,"['Bong Joon Ho, Jon Ronson']","Jun 28, 2017",,118.0,Netflix,https://www.rottentomatoes.com/m/okja
1922,87,57,6.5,30,26,4,3.4,1404,NR,"['Drama', 'Mystery & Suspense']",Zak Hilditch,['Zak Hilditch'],"Oct 20, 2017",,101.0,Netflix,https://www.rottentomatoes.com/m/1922_2017
Paddington 2,100,88,8.7,205,205,0,4.3,7045,PG,"['Animation', 'Comedy', 'Kids & Family']",Paul King (VII),"['Paul King (VII) , Simon Farnaby']","Jan 12, 2018",,105.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/paddington_2
The Rider,96,83,8.4,140,135,5,4.1,1190,R,['Drama'],Chloé Zhao,['Chloé Zhao'],"Apr 13, 2018",,104.0,Sony Pictures Classics,https://www.rottentomatoes.com/m/the_rider_2017
Newness,69,63,6.6,13,9,4,3.6,271,NR,['Drama'],Drake Doremus,['Ben York Jones'],,,112.0,Giant Interactive,https://www.rottentomatoes.com/m/newness_2017
"Roman J. Israel, Esq.",51,54,5.8,157,80,77,3.4,3948,PG-13,['Drama'],Dan Gilroy,['Dan Gilroy'],"Nov 22, 2017",11887893.0,117.0,Sony Pictures,https://www.rottentomatoes.com/m/roman_j_israel_esq
Flatliners,4,34,3.6,67,3,64,2.7,11553,PG-13,"['Drama', 'Horror', 'Science Fiction & Fantasy']",Niels Arden Oplev,['Ben Ripley'],"Sep 29, 2017",16877430.0,108.0,Columbia Pictures,https://www.rottentomatoes.com/m/flatliners_2017
A Bad Moms Christmas,28,45,4.4,111,31,80,3.1,13015,R,['Comedy'],"Jon Lucas, Scott Moore","['Jon Lucas, Scott Moore']","Nov 1, 2017",72080547.0,,STXfilms,https://www.rottentomatoes.com/m/a_bad_moms_christmas_2017
The Beguiled,78,48,7.2,281,219,62,3.1,13695,R,['Drama'],Sofia Coppola,['Sofia Coppola'],"Jun 30, 2017",10542504.0,,Focus Features,https://www.rottentomatoes.com/m/the_beguiled_2017
47 Meters Down,55,36,5.4,139,76,63,2.9,12146,PG-13,['Mystery & Suspense'],Johannes Roberts,"['Johannes Roberts, Ernest Riera']","Jun 16, 2017",44305642.0,89.0,Entertainment Studios Motion Pictures,https://www.rottentomatoes.com/m/47_meters_down
Suburbicon,29,25,5.0,231,66,165,2.3,8077,R,['Comedy'],George Clooney,"['Ethan Coen, Joel Coen, Grant Heslov, George Clooney']","Oct 27, 2017",5748427.0,105.0,Paramount Pictures,https://www.rottentomatoes.com/m/suburbicon_2017
Daddy's Home 2,20,52,3.9,116,23,93,3.3,14684,PG-13,['Comedy'],Sean Anders,"['Sean Anders, John Morris (XIX)']","Nov 10, 2017",102934995.0,98.0,Paramount Pictures,https://www.rottentomatoes.com/m/daddys_home_2_2017
Before I Fall,64,57,5.8,116,74,42,3.4,9080,PG-13,['Drama'],Ry Russo-Young,['Maria Maggenti'],"Mar 3, 2017",12230741.0,99.0,Open Road Films,https://www.rottentomatoes.com/m/before_i_fall_2017
Hot Summer Nights,42,58,5.0,38,16,22,3.5,581,R,['Drama'],Elijah Bynum,['Elijah Bynum'],"Jul 27, 2018",,120.0,A24,https://www.rottentomatoes.com/m/hot_summer_nights
Professor Marston & The Wonder Women,87,78,7.2,157,136,21,3.8,5136,R,['Drama'],Angela Robinson,['Angela Robinson'],"Oct 13, 2017",1583641.0,108.0,Annapurna Pictures,https://www.rottentomatoes.com/m/professor_marston_and_the_wonder_women_2017
Wish Upon,17,31,3.8,82,14,68,2.6,4535,PG-13,['Horror'],John R. Leonetti,['Barbara Marshall'],"Jul 14, 2017",14301001.0,89.0,Broad Green Pictures,https://www.rottentomatoes.com/m/wish_upon_2017
Death Note,40,24,4.8,63,25,38,2.1,5776,NR,"['Drama', 'Horror', 'Mystery & Suspense']",Adam Wingard,"['Charley Parlapanides, Vlas Parlapanides, Jeremy Slater']",,,101.0,Vertigo Entertainment,https://www.rottentomatoes.com/m/death_note_2017
Chappaquiddick,81,69,7.1,121,98,23,3.7,1901,PG-13,['Mystery & Suspense'],John Curran,"['Taylor Allen, Andrew Logan']","Apr 6, 2018",,101.0,Entertainment Studios Motion Pictures,https://www.rottentomatoes.com/m/chappaquiddick_2017
Mudbound,96,85,8.2,170,164,6,4.0,5388,R,['Drama'],Dee Rees,"['Dee Rees, Virgil Williams']","Nov 17, 2017",,134.0,Netflix,https://www.rottentomatoes.com/m/mudbound_2017
Detroit,84,79,7.6,261,218,43,3.8,17584,R,"['Drama', 'Mystery & Suspense']",Kathryn Bigelow,['Mark Boal'],"Aug 4, 2017",16788494.0,142.0,Annapurna Pictures,https://www.rottentomatoes.com/m/detroit_2017
Mary Shelley,40,48,5.4,112,45,67,3.1,439,PG-13,['Drama'],Haifaa Al-Mansour,['Emma Jensen'],"May 25, 2018",,121.0,IFC Films,https://www.rottentomatoes.com/m/mary_shelley_2017
Loving Vincent,84,86,7.2,138,116,22,4.1,7477,PG-13,"['Animation', 'Drama']","Dorota Kobiela, Hugh Welchman","['Dorota Kobiela, Hugh Welchman, Jacek Dehnel']","Sep 22, 2017",6388510.0,,Good Deed Entertainment,https://www.rottentomatoes.com/m/loving_vincent
On Chesil Beach,68,69,6.4,143,97,46,3.7,671,R,"['Drama', 'Romance']",Dominic Cooke,['Ian McEwan'],"May 18, 2018",,110.0,Bleecker Street,https://www.rottentomatoes.com/m/on_chesil_beach
Breathe,66,71,6.4,151,100,51,3.8,3681,PG-13,"['Drama', 'Romance']",Andy Serkis,['William Nicholson'],"Oct 13, 2017",475685.0,,Bleecker Street / Participant Media.,https://www.rottentomatoes.com/m/breathe_2017
The Dinner,45,17,5.4,131,59,72,2.0,1764,R,"['Drama', 'Mystery & Suspense']",Oren Moverman,['Oren Moverman'],"May 5, 2017",,120.0,Chubbco Film Co.,https://www.rottentomatoes.com/m/the_dinner_2017
CHIPS,17,45,3.6,106,18,88,3.1,11698,R,"['Action & Adventure', 'Comedy', 'Drama']",Dax Shepard,['Dax Shepard'],"Apr 6, 2017",18591819.0,101.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/chips_2017
The Lego Batman Movie,90,80,7.5,280,252,28,3.9,45679,PG,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']",Chris McKay,"['Seth Grahame-Smith, Chris McKenna (II), Erik Sommers, Jared Stern, John Whittington']","Feb 10, 2017",175686290.0,90.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/the_lego_batman_movie
A Dog's Purpose,34,73,4.8,137,47,90,3.9,22669,PG,"['Comedy', 'Drama']",Lasse Hallstrom,"['W. Bruce Cameron, Cathryn Michon, Audrey Wells, Maya Forbes, Wallace Wolodarsky']","Jan 27, 2017",64304940.0,120.0,Amblin Entertainment,https://www.rottentomatoes.com/m/a_dogs_purpose
A Ghost Story,91,65,8.0,233,212,21,3.5,16139,R,['Drama'],David Lowery,['David Lowery'],"Jul 7, 2017",1594798.0,87.0,Ideaman Studios,https://www.rottentomatoes.com/m/a_ghost_story_2017
How to Talk to Girls at Parties,47,42,5.3,86,40,46,3.0,643,R,"['Comedy', 'Science Fiction & Fantasy']",John Cameron Mitchell,"['John Cameron Mitchell, Philippa Goslett']","May 25, 2018",,102.0,A24,https://www.rottentomatoes.com/m/how_to_talk_to_girls_at_parties
The House,18,36,3.7,74,13,61,2.9,13216,R,['Comedy'],Andrew Jay Cohen,"[""Andrew Jay Cohen, Brendan O'Brien""]","Jun 30, 2017",25563273.0,,Warner Bros. Pictures,https://www.rottentomatoes.com/m/the_house_2017
Leatherface,29,24,4.0,38,11,27,2.4,3003,R,"['Horror', 'Mystery & Suspense']","Julien Maury, Alexandre Bustillo",['Seth M. Sherwood'],"Oct 20, 2017",,90.0,Lionsgate,https://www.rottentomatoes.com/m/leatherface_2017
The Layover,0,23,1.8,17,0,17,2.2,1455,R,['Comedy'],William H. Macy,"['David Hornsby, Lance Krall']","Sep 1, 2017",,88.0,Vertical Entertainment,https://www.rottentomatoes.com/m/the_layover
"Everything, Everything",47,62,5.4,102,48,54,3.6,9382,PG-13,"['Drama', 'Romance']",Stella Meghie,['J. Mills Goodloe'],"May 19, 2017",34091886.0,,Warner Bros. Pictures,https://www.rottentomatoes.com/m/everything_everything_2017
I don't feel at home in this world anymore.,88,77,7.3,57,50,7,3.8,4504,NR,"['Drama', 'Mystery & Suspense']",Macon Blair,['Macon Blair'],"Feb 24, 2017",,96.0,Film Science,https://www.rottentomatoes.com/m/i_dont_feel_at_home_in_this_world_anymore_2017
Beyond Skyline,65,39,5.7,17,11,6,2.9,674,R,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Liam O'Donnell,"[""Liam O'Donnell""]","Dec 15, 2017",,106.0,Vertical Entertainment,https://www.rottentomatoes.com/m/beyond_skyline_2017
Rough Night,44,29,5.3,151,67,84,2.7,12376,R,['Comedy'],Lucia Aniello,"['Lucia Aniello, Paul W. Downs']","Jun 16, 2017",22092592.0,101.0,Columbia Pictures,https://www.rottentomatoes.com/m/rough_night
Wonder Wheel,30,41,5.0,183,55,128,3.1,1554,PG-13,['Drama'],Woody Allen,['Woody Allen'],"Dec 1, 2017",,101.0,Amazon Studios,https://www.rottentomatoes.com/m/wonder_wheel
The Emoji Movie,8,39,2.7,114,9,105,2.5,24187,PG,"['Animation', 'Comedy', 'Kids & Family']",Anthony Leondis,"['Anthony Leondis, Eric Siegel, Mike White']","Jul 28, 2017",86053485.0,86.0,Sony Pictures Animation,https://www.rottentomatoes.com/m/the_emoji_movie
The Only Living Boy in New York,33,50,4.8,86,28,58,3.3,1571,R,['Drama'],Marc Webb,['Allan Loeb'],"Aug 11, 2017",622999.0,88.0,Amazon Studios/Roadside Attractions,https://www.rottentomatoes.com/m/the_only_living_boy_in_new_york
The Book of Henry,22,63,4.1,122,27,95,3.5,5717,PG-13,"['Drama', 'Mystery & Suspense']",Colin Trevorrow,['Gregg Hurwitz'],"Jun 16, 2017",4219536.0,105.0,Focus Features,https://www.rottentomatoes.com/m/the_book_of_henry
To the Bone,69,64,6.7,59,41,18,3.5,4266,NR,['Drama'],Marti Noxon,['Marti Noxon'],"Jul 14, 2017",,107.0,Netflix,https://www.rottentomatoes.com/m/to_the_bone_2017
Crooked House,57,59,5.1,28,16,12,3.4,461,PG-13,['Mystery & Suspense'],Gilles Paquet-Brenner,"['Julian Fellowes, Tim Rose Price, Gilles Paquet-Brenner']","Dec 22, 2017",,115.0,Sony Pictures Worldwide Acquisitions,https://www.rottentomatoes.com/m/crooked_house
Thelma,92,75,7.3,131,121,10,3.7,3050,NR,"['Art House & International', 'Mystery & Suspense']",Joachim Trier,"['Joachim Trier, Eskil Vogt']","Nov 10, 2017",147112.0,116.0,The Orchard,https://www.rottentomatoes.com/m/thelma_2017
Bleeding Steel,24,25,3.8,17,4,13,2.5,161,R,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",Leo Zhang,"['Erica Xia-Hou, Siwei Cui, Leo Zhang']","Jul 6, 2018",,110.0,Lionsgate Premiere,https://www.rottentomatoes.com/m/bleeding_steel
Sweet Virginia,78,57,6.8,50,39,11,3.3,1140,R,"['Drama', 'Mystery & Suspense']",Jamie M. Dagg,"['Paul China, Benjamin China']","Nov 17, 2017",5183.0,93.0,IFC Films,https://www.rottentomatoes.com/m/sweet_virginia_2017
Table 19,26,40,4.6,108,28,80,3.0,7520,PG-13,['Comedy'],Jeffrey Blitz,['Jeffrey Blitz'],"Mar 3, 2017",3606977.0,,Fox Searchlight Pictures,https://www.rottentomatoes.com/m/table_19
Going in Style,49,57,5.5,152,74,78,3.5,12990,PG-13,['Comedy'],Zach Braff,['Ted Melfi'],"Apr 7, 2017",45003463.0,97.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/going_in_style_2017
Jungle,59,58,5.7,51,30,21,3.6,3049,R,"['Drama', 'Mystery & Suspense']",Greg McLean,['Justin Monjo'],"Oct 20, 2017",,115.0,Momentum Pictures,https://www.rottentomatoes.com/m/jungle_2017
T2 Trainspotting,79,78,7.0,222,176,46,3.8,15954,R,['Drama'],Danny Boyle,['John Hodge'],"Mar 17, 2017",2395410.0,118.0,TriStar Pictures,https://www.rottentomatoes.com/m/t2_trainspotting
The Space Between Us,17,55,4.3,123,21,102,3.4,14193,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']",Peter Chelsom,"['Allan Loeb, Peter Chelsom, Tinker Lindsay']","Feb 3, 2017",7829766.0,120.0,STX Entertainment,https://www.rottentomatoes.com/m/the_space_between_us
Film Stars Don't Die in Liverpool,80,66,6.7,153,123,30,3.6,1227,R,"['Art House & International', 'Drama', 'Romance']",Paul McGuigan,['Matt Greenhalgh'],"Dec 29, 2017",,105.0,Sony Pictures Classics,https://www.rottentomatoes.com/m/film_stars_dont_die_in_liverpool
Sand Castle,47,42,5.2,15,7,8,3.2,516,NR,['Drama'],Fernando Coimbra,['Chris Roessner'],"Apr 21, 2017",,,Netflix,https://www.rottentomatoes.com/m/sand_castle_2017
Tulip Fever,9,45,4.4,54,5,49,3.1,5203,R,"['Drama', 'Romance']",Justin Chadwick,['Tom Stoppard'],"Sep 1, 2017",2399374.0,107.0,The Weinstein Company,https://www.rottentomatoes.com/m/tulip_fever
First Kill,13,28,3.8,15,2,13,2.5,715,R,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",Steven C. Miller,['Nick Gordon'],"Jul 21, 2017",,97.0,Lionsgate Premiere,https://www.rottentomatoes.com/m/first_kill_2017
Animal Crackers,96,89,8.0,25,24,1,3.9,10223,G,"['Classics', 'Comedy']",Victor Heerman,['Morrie Ryskind'],"Aug 28, 1930",,98.0,MCA Universal Home Video,https://www.rottentomatoes.com/m/animal_crackers
Marshall,82,84,6.7,136,112,24,4.0,8478,PG-13,['Drama'],Reginald Hudlin,"['Jacob Koskoff, Michael Koskoff']","Oct 13, 2017",9480742.0,118.0,Open Road Films,https://www.rottentomatoes.com/m/marshall
The Yellow Birds,44,52,5.3,39,17,22,3.5,205,R,['Drama'],Alexandre Moors,['David Lowery'],"Jun 15, 2018",,100.0,Saban Films,https://www.rottentomatoes.com/m/the_yellow_birds
Satan's Slaves (Pengabdi Setan),100,83,6.7,9,9,0,4.1,91,NR,['Horror'],Joko Anwar,,,,107.0,,https://www.rottentomatoes.com/m/pengabdi_setan
Amityville: The Awakening,28,33,4.0,18,5,13,2.7,23648,R,"['Horror', 'Mystery & Suspense']",Franck Khalfoun,['Franck Khalfoun'],"Oct 28, 2017",,100.0,Dimension Films,https://www.rottentomatoes.com/m/amityville_the_awakening
The Party,80,61,6.9,137,110,27,3.4,1809,R,"['Art House & International', 'Comedy', 'Drama']",Sally Potter,['Sally Potter'],"Feb 16, 2018",330479.0,71.0,Roadside Attractions,https://www.rottentomatoes.com/m/the_party_2017
6 Days,61,45,6.3,28,17,11,3.2,480,R,"['Action & Adventure', 'Art House & International', 'Drama']",Toa Fraser,['Glenn Standring'],"Aug 18, 2017",,,Vertical Entertainment,https://www.rottentomatoes.com/m/6_days_2017
Unlocked,25,40,4.2,53,13,40,3.0,1472,R,"['Action & Adventure', 'Mystery & Suspense']",Michael Apted,"[""Peter O'Brien""]","Sep 1, 2017",,98.0,Lionsgate Premiere,https://www.rottentomatoes.com/m/unlocked_2017
Song to Song,43,37,5.3,115,50,65,2.8,6554,R,"['Comedy', 'Drama']",Terrence Malick,['Terrence Malick'],"Mar 17, 2017",421856.0,129.0,Broad Green Pictures,https://www.rottentomatoes.com/m/song_to_song
Jeepers Creepers 3,17,34,3.8,6,1,5,2.5,2525,NR,"['Drama', 'Horror', 'Special Interest']",Victor Salva,['Victor Salva'],"Sep 26, 2017",,100.0,Infinity Films,https://www.rottentomatoes.com/m/jeepers_creepers_3_2017
Please Stand By,65,70,5.7,31,20,11,3.8,487,PG-13,['Comedy'],Ben Lewin,['Michael Golamco'],"Jan 26, 2018",,93.0,Magnolia Pictures,https://www.rottentomatoes.com/m/please_stand_by_2017
Kidnap,37,50,4.4,83,31,52,3.2,13708,R,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",Luis Prieto,['Knate Lee'],"Aug 4, 2017",30597319.0,82.0,Aviron Pictures,https://www.rottentomatoes.com/m/kidnap_2017
Shock and Awe,29,38,4.7,42,12,30,2.6,309,R,['Drama'],Rob Reiner,['Joey Hartstone'],"Jul 13, 2018",,90.0,Vertical Entertainment and DIRECTV,https://www.rottentomatoes.com/m/shock_and_awe_2017
The Lego Ninjago Movie,55,46,5.8,121,67,54,3.2,18591,PG,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']",Charlie Bean,"['Hilary Winston, Bob Logan, Paul Fisher']","Sep 22, 2017",58938889.0,90.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/the_lego_ninjago_movie
2:22,22,36,3.2,9,2,7,2.8,540,PG-13,"['Drama', 'Mystery & Suspense']",Paul Currie,"['Todd Stein, Nathan Parker']","Jun 30, 2017",,99.0,Magnolia Pictures,https://www.rottentomatoes.com/m/222_2017
Rings,8,24,3.2,103,8,95,2.4,21928,PG-13,"['Drama', 'Horror']",F. Javier Gutiérrez,"['Jacob Aaron Estes, Akiva Goldsman, David Loucka']","Feb 3, 2017",27766716.0,117.0,Paramount Pictures,https://www.rottentomatoes.com/m/rings_2017
Lean on Pete,92,74,7.9,147,135,12,3.7,1168,R,['Drama'],Andrew Haigh,['Andrew Haigh'],"Apr 6, 2018",,121.0,A24,https://www.rottentomatoes.com/m/lean_on_pete
Permission,65,33,6.1,40,26,14,3.0,182,NR,"['Comedy', 'Drama', 'Romance']",Brian Crano,['Brian Crano'],"Feb 9, 2018",,96.0,Good Deed Entertainment,https://www.rottentomatoes.com/m/permission_2017
Ingrid Goes West,85,71,7.1,167,142,25,3.6,8905,R,['Comedy'],Matt Spicer,"['Matt Spicer, David Branson Smith']","Aug 25, 2017",3016057.0,97.0,NEON,https://www.rottentomatoes.com/m/ingrid_goes_west_2017
The Shack,19,77,3.9,68,13,55,4.0,16219,PG-13,['Drama'],Stuart Hazeldine,"['John Fusco, Andrew Lanham, Destin Daniel Cretton']","Mar 3, 2017",57330873.0,132.0,Lionsgate,https://www.rottentomatoes.com/m/the_shack
The Little Hours,79,48,6.5,107,84,23,3.1,6596,R,['Comedy'],Jeff Baena,['Jeff Baena'],"Jun 30, 2017",1623366.0,90.0,Gunpowder & Sky,https://www.rottentomatoes.com/m/the_little_hours_2017
Damascus Cover,14,76,4.2,21,3,18,3.9,96,R,"['Drama', 'Mystery & Suspense']",Daniel Zelik Berk,"['Daniel Zelik Berk, Samantha Newton']","Jul 20, 2018",,,Vertical Entertainment,https://www.rottentomatoes.com/m/damascus_cover
Columbus,98,81,8.4,91,89,2,4.0,5362,NR,['Drama'],Kogonada,['Kogonada'],"Aug 4, 2017",892778.0,104.0,Superlative Films / Depth of Field Productions,https://www.rottentomatoes.com/m/columbus_2017
Mark Felt: The Man Who Brought Down the White House,36,42,5.4,109,39,70,3.1,1761,PG-13,['Drama'],Peter Landesman,['Peter Landesman'],"Sep 29, 2017",766428.0,,Sony Pictures Classics,https://www.rottentomatoes.com/m/mark_felt_the_man_who_brought_down_the_white_house
Breath,77,79,6.4,44,34,10,3.9,265,NR,"['Art House & International', 'Drama']",Simon Baker,"['Gerard Lee, Simon Baker, Tim Winton']","Jun 1, 2018",,116.0,Gran Via Productions,https://www.rottentomatoes.com/m/breath_2017
Snatched,37,30,5.1,202,74,128,2.5,16347,R,"['Action & Adventure', 'Comedy']",Jonathan Levine,['Katie Dippold'],"May 12, 2017",45850343.0,91.0,20th Century Fox,https://www.rottentomatoes.com/m/snatched_2017
Submergence,21,35,4.3,47,10,37,2.6,177,NR,"['Drama', 'Mystery & Suspense', 'Romance']",Wim Wenders,['Erin Dignam'],"Apr 13, 2018",,112.0,Samuel Goldwyn Films,https://www.rottentomatoes.com/m/submergence
God's Own Country,99,86,8.2,102,101,1,4.2,4076,NR,"['Art House & International', 'Drama', 'Romance']",Francis Lee,['Francis Lee'],"Oct 25, 2017",,104.0,Samuel Goldwyn Films,https://www.rottentomatoes.com/m/gods_own_country_2017
Kings,10,33,3.3,31,3,28,2.5,92,R,"['Drama', 'Mystery & Suspense']",Deniz Gamze Ergüven,['Deniz Gamze Ergüven'],"Apr 27, 2018",,92.0,The Orchard,https://www.rottentomatoes.com/m/kings_2017
Sweet Country,95,66,8.3,81,77,4,3.5,467,R,"['Action & Adventure', 'Art House & International', 'Drama']",Warwick Thornton,"['David Tranter, Steven McGregor']","Apr 6, 2018",,113.0,Samuel Goldwyn Films,https://www.rottentomatoes.com/m/sweet_country_2017
Lowlife,89,73,7.2,28,25,3,3.9,648,NR,"['Comedy', 'Drama']",Ryan Prows,"['Tim Cairo, Jake Gibson, Shaye Ogbonna, Ryan Prows, Maxwell Michael Towson']","Apr 6, 2018",,97.0,IFC Films,https://www.rottentomatoes.com/m/lowlife_2017
The Vault,25,27,4.2,24,6,18,2.7,446,NR,"['Horror', 'Mystery & Suspense']",Dan Bush,"['Dan Bush, Conal Byrne']",,4308.0,91.0,FilmRise,https://www.rottentomatoes.com/m/the_vault_2017
Aftermath,43,25,5.3,51,22,29,2.8,2956,R,"['Drama', 'Mystery & Suspense']",Elliott Lester,['Javier Gullón'],"Apr 7, 2017",,92.0,Lionsgate Premiere,https://www.rottentomatoes.com/m/aftermath_2017
Unforgettable,27,34,4.0,109,29,80,2.8,6323,R,"['Drama', 'Mystery & Suspense']",Denise Di Novi,['Christina Hodson'],"Apr 21, 2017",11274490.0,101.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/unforgettable_2017
Ghost House,25,20,4.6,8,2,6,2.6,189,NR,['Horror'],Rich Ragsdale,"[""Kevin O'Sullivan, Jason Chase Tyrrell""]","Aug 25, 2017",,99.0,Vertical Entertainment,https://www.rottentomatoes.com/m/ghost_house_2017
Dark River,79,68,6.4,52,41,11,3.6,535,NR,"['Art House & International', 'Drama']",Clio Barnard,['Clio Barnard'],,,91.0,Left Bank Pictures,https://www.rottentomatoes.com/m/dark_river_2017
The Discovery,46,44,5.6,57,26,31,3.2,1200,NR,"['Drama', 'Science Fiction & Fantasy', 'Romance']",Charlie McDowell,"['Charlie McDowell, Justin Lader']",,,101.0,Netflix,https://www.rottentomatoes.com/m/the_discovery_2017
Last Flag Flying,78,70,7.1,194,151,43,3.6,4036,R,"['Comedy', 'Drama']",Richard Linklater,"['Richard Linklater, Darryl Ponicsan']","Nov 3, 2017",411864.0,124.0,Amazon Studios,https://www.rottentomatoes.com/m/last_flag_flying_2017
All Eyez on Me,17,53,4.3,84,14,70,3.3,13846,R,['Drama'],Benny Boom,"['Jeremy Haft, Steven Bagatourian, Eddie Gonzalez (VIII)']","Jun 16, 2017",44892121.0,140.0,SUMMIT/CODEBLACK FILMS/LIONSGATE,https://www.rottentomatoes.com/m/all_eyez_on_me_2017
The Stray,33,72,5.0,9,3,6,3.8,877,PG,"['Drama', 'Kids & Family']",Mitch Davis,"['Mitch Davis, Parker Davis']","Oct 6, 2017",1564482.0,92.0,Pure Flix Entertainment,https://www.rottentomatoes.com/m/the_stray_2017
