title,tom,aud,tom_ave_rating,tom_num_reviews,tom_fresh,tom_rotten,aud_ave_rating,aud_num_ratings,age_rating,genre,director,writers,rel_date,box,runtime,studio,link
The Disaster Artist,91,86,7.7,287,261,26,4.0,14227,R,['Comedy'],James Franco,"['Scott Neustadter, Michael H. Weber']","Dec 8, 2017",,104.0,A24,https://www.rottentomatoes.com/m/the_disaster_artist
Wonder Woman,93,88,7.6,396,367,29,4.3,124954,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Patty Jenkins,"['Allan Heinberg, Zack Snyder, Jason Fuchs']","Jun 2, 2017",412400625.0,141.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/wonder_woman_2017
Baywatch,17,55,4.0,220,38,182,3.4,29974,R,"['Action & Adventure', 'Comedy']",Seth Gordon,"['Robert Ben Garant, Justin Malen, Damian Shannon, Barry Schwartz, Mark Swift']","May 25, 2017",58009442.0,116.0,Paramount Pictures,https://www.rottentomatoes.com/m/baywatch_2017
The Mummy,15,35,4.2,273,42,231,2.8,47274,PG-13,"['Action & Adventure', 'Drama', 'Horror']",Alex Kurtzman,"['David Koepp, Christopher McQuarrie, Dylan Kussman']","Jun 9, 2017",80072590.0,120.0,Universal Pictures,https://www.rottentomatoes.com/m/the_mummy_2017
Kingsman: The Golden Circle,53,65,5.3,257,135,122,3.6,44850,R,"['Action & Adventure', 'Comedy']",Matthew Vaughn,"['Jane Goldman, Matthew Vaughn']","Sep 22, 2017",99733121.0,,20th Century Fox,https://www.rottentomatoes.com/m/kingsman_the_golden_circle
Baby Driver,93,86,8.0,326,302,24,4.1,61053,R,"['Action & Adventure', 'Drama']",Edgar Wright,['Edgar Wright'],"Jun 28, 2017",107770367.0,113.0,Sony Pictures,https://www.rottentomatoes.com/m/baby_driver_2017
Disobedience,85,77,7.3,137,116,21,3.9,2317,NR,"['Drama', 'Romance']",Sebastián Lelio,"['Sebastián Lelio, Rebecca Lenkiewicz']","Apr 27, 2018",,114.0,,https://www.rottentomatoes.com/m/disobedience_2017
Wonder,85,88,7.0,165,140,25,4.2,18171,PG,['Drama'],Stephen Chbosky,"['Jack Thorne, Steven Conrad, Stephen Chbosky']","Nov 17, 2017",132090170.0,113.0,Lionsgate,https://www.rottentomatoes.com/m/wonder
Dunkirk,92,81,8.6,387,357,30,4.0,66293,PG-13,"['Action & Adventure', 'Drama']",Christopher Nolan,['Christopher Nolan'],"Jul 21, 2017",188042171.0,107.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/dunkirk_2017
Logan,93,90,7.9,352,327,25,4.3,90428,R,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",James Mangold,"['James Mangold, Scott Frank, Michael Green']","Mar 3, 2017",226276809.0,135.0,20th Century Fox,https://www.rottentomatoes.com/m/logan_2017
Wind River,86,90,7.7,220,190,30,4.2,28566,R,"['Drama', 'Mystery & Suspense']",Taylor Sheridan,['Taylor Sheridan'],"Aug 4, 2017",33782714.0,111.0,The Weinstein Company,https://www.rottentomatoes.com/m/wind_river_2017
Beauty and the Beast,71,81,6.7,328,232,96,4.0,85517,PG,"['Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']",Bill Condon,"['Evan Spiliotopoulos, Stephen Chbosky']","Mar 17, 2017",503974884.0,129.0,Walt Disney Pictures,https://www.rottentomatoes.com/m/beauty_and_the_beast_2017
Revenge,93,54,7.3,99,92,7,3.2,1935,R,"['Action & Adventure', 'Mystery & Suspense']",Coralie Fargeat,['Coralie Fargeat'],"May 11, 2018",,108.0,Shudder and NEON,https://www.rottentomatoes.com/m/revenge_2017
Downsizing,50,22,5.7,266,133,133,2.2,8996,R,"['Comedy', 'Drama']",Alexander Payne,['Alexander Payne'],"Dec 22, 2017",22932429.0,,Paramount Pictures,https://www.rottentomatoes.com/m/downsizing_2017
I Kill Giants,79,82,6.6,53,42,11,3.6,1842,NR,"['Drama', 'Science Fiction & Fantasy']",Anders Walter,['Joe Kelly'],"Mar 23, 2018",,104.0,XYZ Films,https://www.rottentomatoes.com/m/i_kill_giants_2017
Alien: Covenant,67,55,6.3,344,229,115,3.3,63065,R,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",Ridley Scott,"['John Logan, Dante Harper, Jack Paglen, Michael Green']","May 19, 2017",74255908.0,120.0,20th Century Fox,https://www.rottentomatoes.com/m/alien_covenant
Ghost Stories,82,60,7.2,98,80,18,3.5,1892,NR,"['Drama', 'Mystery & Suspense']","Jeremy Dyson, Andy Nyman","['Jeremy Dyson, Andy Nyman']","Apr 20, 2018",,97.0,IFC Midnight,https://www.rottentomatoes.com/m/ghost_stories_2017
Molly's Game,82,84,7.2,256,210,46,3.9,10983,R,['Drama'],Aaron Sorkin,['Aaron Sorkin'],"Jan 5, 2018",28744803.0,140.0,STXfilms,https://www.rottentomatoes.com/m/mollys_game_2017
Geostorm,13,37,3.6,75,10,65,2.7,17259,PG-13,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",Dean Devlin,"['Dean Devlin, Paul Guyot']","Oct 20, 2017",33681965.0,,Warner Bros. Pictures,https://www.rottentomatoes.com/m/geostorm
Darkest Hour,84,82,7.3,267,225,42,4.0,13232,PG-13,['Drama'],Joe Wright,['Anthony McCarten'],"Dec 22, 2017",28086332.0,125.0,Focus Features,https://www.rottentomatoes.com/m/darkest_hour_2017
Lady Bird,99,79,8.7,328,324,4,4.0,20175,R,"['Comedy', 'Drama']",Greta Gerwig,['Greta Gerwig'],"Nov 3, 2017",48285330.0,93.0,A24,https://www.rottentomatoes.com/m/lady_bird
Pitch Perfect 3,32,46,4.7,125,40,85,3.1,16476,PG-13,['Comedy'],Trish Sie,"['Mike White, Kay Cannon']","Dec 22, 2017",104880310.0,,Universal Pictures,https://www.rottentomatoes.com/m/pitch_perfect_3
Pirates of the Caribbean: Dead Men Tell No Tales,29,61,4.7,249,73,176,3.5,129976,PG-13,"['Action & Adventure', 'Drama']","Espen Sandberg, Joachim Rønning",['Jeff Nathanson'],"May 26, 2017",172537139.0,135.0,Walt Disney Pictures,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_men_tell_no_tales
Beast,95,76,7.3,116,110,6,3.8,775,R,['Drama'],Michael Pearce,,"May 11, 2018",,107.0,30WEST and Roadside Attractions,https://www.rottentomatoes.com/m/beast_2017
John Wick: Chapter 2,89,85,7.3,233,208,25,4.1,54416,R,"['Action & Adventure', 'Drama']",Chad Stahelski,['Derek Kolstad'],"Feb 10, 2017",91970516.0,122.0,Summit Entertainment,https://www.rottentomatoes.com/m/john_wick_chapter_2
